user_id,call_drtn_mthly,gt0_call_mthly,zero_call_mthly,gb_mthly,msg_mthly,xtr_prft_cll_msg_int,xtr_prft_cll_mthly,xtr_prft_msg_mthly,xtr_prft_int_mthly,user_packege,mnts_ndd_mthly_bll,msg_ndd_mthly_bll,gb_ndd_mthly_bll
1000,,,,,,,,,,,,,
1001,"[0, 0, 0, 0]","[36, 34, 54, 52]","[11, 10, 18, 14]","[0, 4, 4, 4]","[0, 0, 0, 0]","[0.0, 40.0, 40.0, 40.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0, 40, 40, 40]",surf,"[278.35999999999996, 263.38, 434.21000000000004, 428.88999999999993]","[47, 44, 49, 38]","[12, 19, 19, 19]"
1002,"[0, 0]","[41, 41]","[8, 8]","[3, 3]","[0, 0]","[30.0, 30.0]","[0.0, 0.0]","[0.0, 0.0]","[30, 30]",surf,"[296.59999999999997, 354.72]","[39, 32]","[18, 18]"
1003,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 227]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 84]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 36.81]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.81]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30]",surf,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 726.37]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18]"
1004,"[0, 0, 0, 0, 0, 0, 0]","[43, 46, 36, 37, 46, 39, 41]","[8, 7, 8, 10, 11, 11, 7]","[9, 5, 10, 13, 0, 2, 5]","[0, 0, 0, 0, 0, 0, 0]","[90.0, 50.0, 100.0, 130.0, 0.0, 20.0, 50.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[90, 50, 100, 130, 0, 20, 50]",surf,"[386.02, 365.56000000000006, 292.55, 285.60999999999996, 359.94000000000005, 400.85999999999996, 400.62]","[21, 20, 28, 21, 25, 22, 33]","[24, 20, 25, 28, 14, 17, 20]"
1005,[0],[37],[9],[0],[0],[0.0],[0.0],[0.0],[0],surf,[326.62],[8],[12]
1006,[0],[9],[2],[1],[0],[7.0],[0.0],[0.0],[7],ultimate,[64.11],[132],[31]
1007,"[0, 0, 13, 25, 3]","[9, 65, 60, 62, 62]","[2, 17, 13, 16, 12]","[0, 17, 13, 23, 9]","[0, 12, 0, 5, 5]","[0.0, 170.36, 130.39, 230.9, 90.24]","[0.0, 0.0, 0.39, 0.75, 0.09]","[0.0, 0.36, 0.0, 0.15, 0.15]","[0, 170, 130, 230, 90]",surf,"[81.2, 488.86, 512.76, 525.13, 502.39]","[8, 62, 45, 55, 55]","[4, 32, 28, 38, 24]"
1008,"[0, 0, 0, 0]","[0, 0, 55, 54]","[0, 0, 18, 15]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0]",ultimate,"[0.0, 0.0, 451.90000000000003, 458.6600000000001]","[0, 0, 22, 37]","[0, 0, 20, 21]"
1009,"[0, 272, 265, 230, 288, 138, 117, 279]","[35, 95, 90, 97, 99, 83, 82, 92]","[6, 13, 21, 23, 23, 21, 28, 15]","[0, 8, 8, 10, 9, 8, 9, 11]","[0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 88.16, 87.95, 106.9, 98.64, 84.14, 93.51, 118.37]","[0.0, 8.16, 7.949999999999999, 6.8999999999999995, 8.64, 4.14, 3.51, 8.37]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 80, 80, 100, 90, 80, 90, 110]",surf,"[275.24, 772.0999999999999, 764.6600000000001, 729.86, 787.66, 637.35, 616.2899999999998, 778.22]","[0, 0, 0, 0, 0, 0, 0, 0]","[12, 23, 23, 25, 24, 23, 24, 26]"
